CODE_ISIN,CODE_LANGUE
FR0011882364,EN
LU0533032008,EN
LU1834988781,EN
LU0533033667,EN
FR0013346681,EN
LU1190418134,EN
LU0539466150,EN
IE00B61N8946,EN
LU0812607454,EN
LU0985424349,EN
IE00B8V74V41,EN
FR0014009BP1,EN
FR0011351626,EN
GB0030932676,EN
GB00B1H05155,EN
LU0914729966,EN
LU1623119218,EN
LU0552643339,EN
LU1911611140,EN
FR0010400762,EN
FR0013083680,EN
LU0568620560,EN
LU0568621618,EN
LU0161687693,EN
LU1391858385,EN
LU1506378568,EN
LU1391857817,EN
LU0979136255,EN
LU1391858112,EN
LU1391859516,EN
LU0844168194,EN
LU0859660069,EN
LU0512092221,EN
LU0694238766,EN
LU0073233958,EN
LU0073232471,EN
LU1781541179,EN
IE00B3MB7B14,EN
LU2564068026,EN
FR0014000881,EN
LU1951202693,EN
LU1335435464,EN
LU2169557654,EN
FR0010678359,EN
FR0011563535,EN
IE00BVYJ5W68,EN
IE00B12VW672,EN
FR0000970972,EN
IE00BYXVX196,EN
IE00BZ0GCL74,EN
FR0010734491,EN
FR0007064134,EN
FR0000980989,EN
FR001400C7W0,EN
FR0010574434,EN
FR0011170182,EN
FR0000945180,EN
FR0010564351,EN
FR0011381227,EN
FR0000011074,EN
LU0256840447,EN
GB0003501581,EN
IE00B9DCSJ09,EN
BE0000337460,EN
FR001400FYQ4,EN
FR001400IOS5,EN
FR001400IPV6,EN
FR001400M1Y7,EN
FR001400M113,EN
XS2517243346,EN
XS2678870556,EN
XS2593761658,EN
LU0128494944,EN
LU0280430405,EN
LU0503631557,EN
LU0128498267,EN
IE00B84J9L26,EN
IE00B11XZB05,EN
IE00B11XZ103,EN
LU2261172451,EN
FR0014005AW7,EN
FR0011349901,EN
FR0011243393,EN
FR0010897199,EN
FR0010786350,EN
FR0000098006,EN
FR0010912915,EN
FR0012300739,EN
FR0010906305,EN
FR001400IBK9,EN
XS2516343196,EN
FR2CIBFS1837,EN
LU0209860427,EN
LU1811861431,EN
LU0203975437,EN
LU0474363974,EN
LU0434928536,EN
FR0010237503,EN
LU1100077103,EN
LU1100076550,EN
FR0011261197,EN
FR2CIBFS1589,EN
FR0010505578,EN
LU2080993616,EN
IE00B7KFL990,EN
FR0050000829,EN
FR0050000837,EN
FR0013381035,EN
FR0050000100,EN
FR0050000423,EN
FR0050000688,EN
FR00140009Z9,EN
FR0013535481,EN
FR0013535390,EN
FR0013535523,EN
FR0013535549,EN
FR0014000QG7,EN
FR0000000085,EN
FR0050000431,EN
FR0050000449,EN
FR0050000456,EN
FR0011362094,EN
FR001400HZX3,EN
FR0011584416,EN
FR0007040373,EN
LU1882445643,EN
LU1622150198,EN
LU1883868819,EN
LU1883303635,EN
LU1880401523,EN
LU1894683009,EN
FR0013329828,EN
FR0010173237,EN
LU0482270153,EN
LU0162658883,EN
FR0011445436,EN
LU1530899142,EN
LU1683285164,EN
LU1694789451,EN
LU0284395638,EN
LU1907594748,EN
LU1881477472,EN
BE6297703751,EN
FR0013406691,EN
LU1819480192,EN
LU1331971769,EN
LU1345484874,EN
LU1303741661,EN
IE00BFY85L07,EN
FR0013291879,EN
LU1902443420,EN
LU1074970481,EN
LU0432979614,EN
LU0292454872,EN
FR0013268356,EN
IE00BC9S3Z47,EN
LU0812608262,EN
LU1536788638,EN
LU1670710075,EN
LU1670722161,EN
LU1670711040,EN
LU1582988058,EN
LU1670724373,EN
LU0914733059,EN
LU1670725347,EN
LU1278756934,EN
LU1648217575,EN
LU1693821826,EN
LU1958314913,EN
LU2108470142,EN
LU1648219605,EN
LU0149084633,EN
LU1648217229,EN
FR0011600410,EN
LU0935227537,EN
IE00BF2F6G53,EN
LU0823421689,EN
LU0503631714,EN
LU0366534344,EN
LU0270904781,EN
LU0366536984,EN
LU0340559557,EN
IE00B3QDMK77,EN
LU1396459015,EN
LU1183791794,EN
LU1301026388,EN
LU0503634221,EN
LU1991167542,EN
FR001400JVR0,EN
FR001400JN81,EN
LU0068578508,EN
FR0000003964,EN
IE00B7452L46,EN
LU0548153104,EN
LU0170475312,EN
LU2147879543,EN
FR001400LRS2,EN
FR0007072160,EN
XS2516343279,EN
XS2630626989,EN
LU0569862609,EN
IE00BZ2GV965,EN
FR001400FS23,EN
IE00BYWQWR46,EN
IE00BG47K971,EN
FR0010289827,EN
FR0010078279,EN
FR0007371810,EN
FR0013299047,EN
FR0007465083,EN
FR0013379054,EN
FR0013522927,EN
FR001400IGX1,EN
FR001400IGZ6,EN
LU1612360716,EN
LU1074026086,EN
IE00BHBFD143,EN
IE00BJGWQN72,EN
LU0292109187,EN
LU1303940784,EN
FR0000423527,EN
LU0171305526,EN
LU0172157280,EN
LU0122376428,EN
FR0010027623,EN
FR0010298596,EN
LU0266117414,EN
IE0004307934,EN
LU0147944259,EN
LU0935231216,EN
IE00B44F1J46,EN
FR0000299356,EN
FR0000292302,EN
FR0011537653,EN
FR0000990095,EN
IE00B441G979,EN
LU0908500753,EN
FR0010429068,EN
FR0011363423,EN
LU1829221024,EN
FR0010361279,EN
FR0010194464,EN
FR0010540906,EN
FR0010541086,EN
FR0010541094,EN
FR0010233270,EN
FR0010541193,EN
FR0010540831,EN
FR0011482074,EN
FR0010540856,EN
FR0010241281,EN
FR0010501684,EN
FR0010541284,EN
FR0011443886,EN
FR0010541425,EN
FR0010148346,EN
FR0007051040,EN
FR001400JLJ8,EN
FR001400JOE3,EN
FR0012333219,EN
FR0010058529,EN
LU0469266505,EN
FR0011387299,EN
LU0469268469,EN
FR0013085024,EN
FR0007061379,EN
FR0010829697,EN
FR0013251816,EN
LU0658026942,EN
FR0013222403,EN
FR0010158048,EN
FR0010863688,EN
FR0011637115,EN
FR0012951101,EN
FR0011153014,EN
FR0000438905,EN
FR0012817567,EN
FR0010028704,EN
